FAVORITE ROAD SIGN IN GERMANY; IT MEANS &AMP;QUOT;NO SPEED LIMIT.&AMP;QUOT;,5
ON CURRENT N78 ON JUNCTION WITH ROAD LEADING TO NEWBRIDGE, NEAR KILCULLEN JUNCTION,1
IN FROM THE ENTRANCE THIS OFFICE IS JUST TO THE LEFT OF THE SIGN IN ROOM AT ST. CATHERINE'S,0
WHITE PINE BONSAI TREE THEY HAVE.  THE SIGN SAYS IT'S BEEN IN TRAINING SINCE 1625!,1
ROAD IN CAMP PENDLETON. SEE THE RANGE SIGN AHEAD.,0
BUS SERVING IN HAVANNA (CUBA) NOW. THE SIGN STILL SAYS &AMP;QUOT;DELFT STATION&AMP;QUOT;.,4
CAN TELL THIS IS A STUDENT RESIDENCE BY THE ROAD SIGN SECRETED IN THE GARDEN.,5
ABOVE GROUND EVEN THOUGH TRAIN IS BELOW GROUND,5
STREET SIGN IN GINZA.,0
GREAT SIGN IN BOUROUGHS MARKET,0
LARGEST LIVING CHRISTMAS TREE IN THE COUNTRY (OR SO THE SIGN SAYS),5
SISTER IN FRONT OF THE STREET SIGN IN OUR FRONT YARD.,1
SIGN IS A BIT IN THE DITCH AND MOSTLY UP TO IT'S NECK IN SNOW. OH... THIS IS THE ROAD TOO.,5
ROAD SIGN ALONG THE HIGHWAY IN BOLIVIA.,5
IS THE ONLY SIGN ABOVE THE LOCAL NEWSPAPER OFFICE. IT'S A BANNER SCREWED TO THE DOOR FRAME!,3
SIGN ON THE LIGHT POLE IN THIS MOOSE LAKE GAS STATION PARKING LOT READS:NOCONGREGATINGOR CRUISINGVIOLATORS WILLBE PROSECUTED,0
COMPANY HEADQUARTERS.  ONCE SAW A WOMAN DOING THE SIGN OF THE CROSS AND SAYING IGLESIA! IN FRONT.,0
THE BUS STOP SIGN IS IN FRENCH. FEELS LIKE HOME :),5
SIGN WAS JUST LYING ON THE GROUND NEAR THE GUARD TOWER.,9
PACIFIC CREST TRAIL SYSTEM SIGN FRAMED IN A TREE,4
EX...  ROAD ARROW AND ROAD SIGN NEAR OCOTILLO , CA.,0
SIGN IN SPANISH IS OMINOUSLY WRITTEN OVER IN ENGLISH USING RED SPRAY PAINT.,0
SIGN ABOVE THE BAR,0
VOTE FOR COOLEST SIGN AND WALL IN YELAPA.,4
FISHING SIGN WITH REPLICA OF COLUMBUS'S SHIP THE NINA IN THE BACKGROUND,0
ROAD SIGN IN ZUGDIDI,2
SIGN ON THE SIDE OF ROAD SOMEWHERE NEAR GAINESVILLE.,4
